time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	-0.446488	0.768659	-0.022654	-0.000569	0.000725	-0.001314
0.000100	-2.296521	0.740056	-0.016004	-0.002824	0.000725	-0.001797
0.000200	3.126789	1.004958	0.044097	0.003781	0.000886	0.003036
0.000300	2.287972	-0.743960	-0.014804	0.002814	-0.000725	0.000459
0.000400	-2.462640	-0.624083	0.202696	-0.002985	-0.000564	0.007869
0.000500	1.553793	1.491284	-0.031474	0.001848	0.001369	-0.000991
0.000600	0.529275	-2.328208	-0.012051	0.000720	-0.002175	0.000136
0.000700	1.509151	-0.232622	0.032117	0.001848	-0.000242	0.002070
0.000800	0.934413	3.043997	0.025839	0.001042	0.002819	0.000942
0.000900	-0.086805	-0.614490	-0.073001	-8.555420E-5	-0.000564	-0.003086
0.001000	-5.275596	2.955942	0.126501	-0.006529	0.002819	0.002714
0.001100	-1.139285	-0.456321	-0.054688	-0.001374	-0.000403	-0.002763
0.001200	4.403515	-0.699327	0.094972	0.005392	-0.000725	0.006097
0.001300	0.663475	2.846158	-0.176799	0.000720	0.002658	-0.007919
0.001400	-0.488449	-0.800295	-0.136811	-0.000569	-0.000725	-0.005985
0.001500	-2.054394	-0.116271	0.029978	-0.002502	-8.084676E-5	0.000459
0.001600	-2.219455	-1.341347	-0.085216	-0.002663	-0.001209	-0.004374
0.001700	6.110866	-1.033280	-0.053091	0.007486	-0.001047	0.000459
0.001800	4.087663	2.399784	0.003655	0.004908	0.002175	0.001425
0.001900	0.543042	3.216138	0.078690	0.000559	0.002980	0.003036
0.002000	-4.308483	4.540523	0.250346	-0.005402	0.004269	0.008191
0.002100	0.543197	3.217652	0.093561	0.000559	0.002980	0.003680
0.002200	-0.504822	-1.475331	0.031388	-0.000569	-0.001370	0.001425
0.002300	1.936088	0.972924	-0.085734	0.002331	0.000886	-0.003086
0.002400	-0.402555	2.356907	0.281110	-0.000569	0.002175	0.011574
0.002500	-1.219457	1.465969	0.151377	-0.001535	0.001369	0.005775
0.002600	-0.455525	0.422819	-0.020345	-0.000569	0.000402	-0.001152
0.002700	3.373802	0.325145	0.124244	0.004103	0.000241	0.006741
0.002800	-1.783456	0.081569	0.232617	-0.002180	8.025130E-5	0.009319
0.002900	-2.459378	-0.463458	0.080714	-0.002985	-0.000403	0.002553
