time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	1.564596	-1.578777	0.010773	0.001958	-0.001495	0.001420
0.000100	2.962528	-3.645477	-0.119487	0.003731	-0.003428	-0.003252
0.000200	-3.220951	2.321819	-0.007761	-0.004002	0.002211	-0.002124
0.000300	2.370876	-1.049190	-0.009614	0.002925	-0.001011	0.000776
0.000400	-7.811851	-1.537786	0.172400	-0.009480	-0.001333	0.004481
0.000500	0.488731	2.730541	0.032398	0.000509	0.002533	0.001098
0.000600	3.556189	-1.198589	0.037721	0.004375	-0.001172	0.003353
0.000700	2.411561	0.507281	-0.018143	0.002925	0.000439	0.000131
0.000800	-3.601389	-2.165168	0.151196	-0.004324	-0.001978	0.005447
0.000900	-0.563710	-2.134416	-0.019327	-0.000619	-0.001978	-0.000674
0.001000	0.593255	-3.333441	-0.084035	0.000831	-0.003106	-0.002769
0.001100	-0.701351	-2.318945	-0.111704	-0.000780	-0.002139	-0.004702
0.001200	0.510454	-1.436874	-0.130778	0.000670	-0.001333	-0.005185
0.001300	-0.683509	-1.629534	-0.138627	-0.000780	-0.001495	-0.005991
0.001400	0.524144	-0.916790	-0.121229	0.000670	-0.000850	-0.004863
0.001500	0.388359	-1.083160	-0.035153	0.000509	-0.001011	-0.001158
0.001600	2.893649	-1.226557	-0.134374	0.003569	-0.001172	-0.004380
0.001700	1.340118	-0.034931	-0.080722	0.001636	-4.465064E-5	-0.002930
0.001800	-1.393258	-3.535224	-0.058230	-0.001586	-0.003267	-0.002446
0.001900	1.464108	-0.370109	0.005824	0.001797	-0.000367	0.000937
0.002000	-2.362628	-0.247090	0.110325	-0.002875	-0.000206	0.003836
0.002100	-2.490614	-0.079725	0.075124	-0.003036	-4.465064E-5	0.002225
0.002200	-0.710581	-2.666677	-0.127984	-0.000780	-0.002461	-0.005346
0.002300	-3.681161	-0.110246	-0.039836	-0.004486	-4.465064E-5	-0.003252
0.002400	1.718610	-0.719213	-0.065049	0.002120	-0.000689	-0.001963
