time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	5.637763	0.541589	-0.220126	0.006860	0.000442	-0.007276
0.000100	3.366606	4.516537	0.101521	0.003961	0.004147	0.004968
0.000200	0.817964	-1.946145	-0.121011	0.001061	-0.001813	-0.004537
0.000300	2.314721	-0.214275	-0.332429	0.002833	-0.000202	-0.013397
0.000400	-4.939866	0.061860	0.110696	-0.006027	0.000120	0.002712
0.000500	0.373803	1.188455	0.157004	0.000416	0.001087	0.006740
0.000600	3.734321	3.469392	-0.047797	0.004444	0.003181	-0.001154
0.000700	0.101048	-4.050669	-0.294126	0.000255	-0.003746	-0.011948
0.000800	-2.306590	-0.248900	0.046677	-0.002806	-0.000202	0.001101
0.000900	-0.024851	1.160628	-0.054812	-6.684881E-5	0.001087	-0.002604
0.001000	-1.056588	-2.986924	0.141655	-0.001195	-0.002780	0.006256
0.001100	2.459930	0.301719	-0.383636	0.002994	0.000281	-0.015653
0.001200	4.118085	2.965407	0.039219	0.004927	0.002698	0.002873
0.001300	-1.511550	-5.110221	-0.257070	-0.001678	-0.004713	-0.010820
0.001400	7.945170	-2.177712	-0.105579	0.009760	-0.002135	-0.000832
0.001500	0.287779	-2.098731	0.162204	0.000416	-0.001974	0.007545
0.001600	-2.178397	-0.285524	-0.333808	-0.002644	-0.000202	-0.015331
0.001700	0.134899	2.205029	-0.014678	9.424939E-5	0.002053	-0.000993
0.001800	2.795311	-2.220186	0.278614	0.003477	-0.002135	0.013667
0.001900	-0.293160	0.988513	-0.004643	-0.000389	0.000925	-0.000510
0.002000	-0.088650	-1.265550	-0.090702	-6.684881E-5	-0.001169	-0.003732
0.002100	-1.659519	-0.758418	0.038205	-0.002000	-0.000686	0.001101
0.002200	1.461155	-2.622341	-0.066985	0.001866	-0.002458	-0.001798
0.002300	-5.354776	-0.639868	0.078233	-0.006511	-0.000524	0.001262
0.002400	-1.385203	-0.398818	0.130015	-0.001678	-0.000363	0.005129
0.002500	-0.349159	-1.103931	-0.161809	-0.000389	-0.001008	-0.006954
0.002600	-0.619262	3.601208	0.225373	-0.000872	0.003342	0.008834
0.002700	1.179425	1.711612	0.073415	0.001383	0.001570	0.003357
0.002800	1.493460	-1.405280	-0.010004	0.001866	-0.001330	0.000457
0.002900	-3.071683	0.782901	0.106866	-0.003772	0.000764	0.003196
0.003000	1.893520	-1.234985	-0.098623	0.002350	-0.001169	-0.003248
0.003100	-2.079431	-1.637795	-0.039577	-0.002483	-0.001491	-0.002282
0.003200	-0.602772	-0.746127	-0.005428	-0.000711	-0.000686	-0.000349
0.003300	4.384461	-1.904897	-0.270595	0.005410	-0.001813	-0.009531
0.003400	0.972790	-1.078636	-0.118759	0.001222	-0.001008	-0.004537
0.003500	0.884006	0.501975	0.130510	0.001061	0.000442	0.005934
0.003600	1.475077	-2.099987	-0.035129	0.001866	-0.001974	-0.000510
0.003700	1.766462	-1.058542	-0.044598	0.002189	-0.001008	-0.000993
0.003800	0.189701	-0.737759	-0.046518	0.000255	-0.000686	-0.001798
0.003900	-3.533091	-1.660891	-0.040460	-0.004255	-0.001491	-0.002926
0.004000	-2.465335	-1.283466	0.103205	-0.002967	-0.001169	0.003679
0.004100	1.520030	-0.373055	-0.068978	0.001866	-0.000363	-0.002282
