time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	-1.177058	0.572286	0.081653	-0.001455	0.000543	0.002938
0.000100	4.351588	-0.195345	0.177150	0.005312	-0.000263	0.009543
0.000200	-0.419844	4.229498	0.209061	-0.000649	0.003926	0.008093
0.000300	3.700573	0.275587	-0.193591	0.004506	0.000220	-0.006889
0.000400	-2.019215	-1.338015	0.137298	-0.002421	-0.001229	0.005354
0.000500	-2.798577	-0.831972	0.132170	-0.003388	-0.000746	0.004710
0.000600	-1.207741	4.394618	0.254573	-0.001616	0.004087	0.009704
0.000700	-1.226393	-1.326242	0.129668	-0.001455	-0.001229	0.005354
0.000800	-1.925623	2.280637	-0.011486	-0.002421	0.002154	-0.001734
0.000900	3.839103	0.468817	-0.015705	0.004667	0.000382	0.000844
0.001000	0.257793	4.920018	0.090271	0.000156	0.004570	0.003099
0.001100	3.242490	-2.135672	-0.021188	0.004023	-0.002035	0.000844
0.001200	4.730389	-0.876600	0.222565	0.005795	-0.000907	0.011798
0.001300	3.290008	-0.254923	-0.243939	0.004023	-0.000263	-0.009145
0.001400	0.389815	-0.102660	0.004090	0.000479	-0.000102	0.000360
0.001500	-4.532304	-1.528353	0.357796	-0.005482	-0.001391	0.013892
0.001600	-2.865716	1.603972	0.284583	-0.003549	0.001509	0.010832
0.001700	0.748711	-1.622224	0.313662	0.000962	-0.001552	0.014215
0.001800	-1.619465	-1.170746	0.018937	-0.001938	-0.001068	0.000360
0.001900	-0.611590	1.971061	0.141688	-0.000810	0.001831	0.005515
0.002000	4.942621	-2.797685	0.007793	0.006117	-0.002679	0.002938
0.002100	2.786778	0.628499	0.017480	0.003378	0.000543	0.001810
0.002200	3.741220	-3.191825	-0.279593	0.004667	-0.003002	-0.009950
0.002300	9.728644	3.482117	-0.215823	0.011756	0.003120	-0.005923
0.002400	-4.931730	-1.563746	0.071624	-0.005965	-0.001391	0.001327
0.002500	-2.647864	-0.133412	0.174613	-0.003227	-0.000102	0.006482
0.002600	3.256992	-1.607643	0.066435	0.004023	-0.001552	0.004549
0.002700	1.255319	-2.343886	-0.058585	0.001606	-0.002196	-0.001573
0.002800	-1.895483	3.476514	-0.162700	-0.002421	0.003281	-0.008500
0.002900	2.321992	-1.977053	-0.019018	0.002895	-0.001874	0.000521
0.003000	0.807987	0.759694	-0.085428	0.000962	0.000704	-0.003506
0.003100	4.090421	-0.040156	0.042840	0.004989	-0.000102	0.003582
0.003200	0.392174	-0.079584	0.230874	0.000479	-0.000102	0.010187
0.003300	-2.652402	-0.306521	0.173908	-0.003227	-0.000263	0.006482
0.003400	-1.579128	0.382320	-0.023053	-0.001938	0.000382	-0.001734
0.003500	-0.235302	1.265217	-0.054552	-0.000327	0.001187	-0.002701
0.003600	-1.491479	-1.338111	0.054138	-0.001777	-0.001229	0.001971
0.003700	2.017535	1.490974	0.114142	0.002412	0.001348	0.005515
0.003800	-1.227669	-1.338726	0.006982	-0.001455	-0.001229	3.804205E-5
0.003900	0.164627	1.305528	0.279950	0.000156	0.001187	0.011959
0.004000	4.987380	-1.072644	-0.044644	0.006117	-0.001068	0.000360
0.004100	-1.876688	-0.976972	0.263840	-0.002260	-0.000907	0.010832
0.004200	-2.000406	-0.639146	0.203319	-0.002421	-0.000585	0.008093
0.004300	2.213742	-1.101742	0.101028	0.002734	-0.001068	0.005515
0.004400	2.059859	-1.831322	-0.246272	0.002573	-0.001713	-0.009467
